city_a,city_b,n_flights_annual,avg_seats,air_pax_estimated,distance_km
Brussels,Stuttgart,174.0,166.0,23107,415.7
Brussels,Tallinn,414.0,132.0,43718,
Brussels,Tenerife,15.0,182.9,2195,
Brussels,Toulouse,2128.0,160.4,273065,834.9
Brussels,Turin,336.0,186.0,49997,688.9
Brussels,Valencia,0.0,180.0,0,1317.5
Brussels,Venice,2474.0,170.1,336662,843.6
Brussels,Vienna,4554.0,177.8,647761,914.9
Brussels,Vilnius,289.0,149.8,34634,
Brussels,Warsaw,2742.0,137.0,300523,
Brussels,Zagreb,23.0,121.3,2232,
Brussels,Zurich,2430.0,150.3,292183,493.4
Bucharest,Budapest,883.0,86.0,60750,
Bucharest,Cologne,833.0,194.6,129681,
Bucharest,Copenhagen,488.0,201.2,78548,
Bucharest,Edinburgh,415.0,194.0,64408,
Bucharest,Frankfurt,2482.0,171.6,340729,
Bucharest,Geneva,302.0,192.5,46508,
Bucharest,Hamburg,290.0,201.7,46794,
Bucharest,Helsinki,67.0,168.4,9026,
Bucharest,Lisbon,280.0,207.7,46525,
Bucharest,Ljubljana,21.0,167.0,2806,
Bucharest,London,7212.0,193.9,1118725,
Bucharest,Lyon,89.0,202.5,14418,
Bucharest,Madrid,1843.0,194.3,286476,
Bucharest,Manchester,252.0,186.6,37619,
Bucharest,Marseille,299.0,186.3,44563,
Bucharest,Milan,2882.0,190.8,439908,
Bucharest,Munich,2038.0,169.3,276027,
Bucharest,Naples,7.0,201.1,1126,
Bucharest,Nicosia,562.0,185.8,83536,
Bucharest,Nottingham,3.0,196.7,472,
Bucharest,Oslo,84.0,171.9,11552,
Bucharest,Palermo,80.0,188.2,12045,
Bucharest,Palma,276.0,190.2,41996,
Bucharest,Paris,3392.0,176.1,477865,
Bucharest,Porto,30.0,182.6,4382,
Bucharest,Prague,676.0,165.5,89502,
Bucharest,Riga,36.0,136.4,3928,
Bucharest,Rome,2214.0,187.4,331923,
Bucharest,Rotterdam,8.0,157.8,1010,
Bucharest,Seville,182.0,209.4,30489,
Bucharest,Stockholm,54.0,158.9,6864,
Bucharest,Strasbourg,427.0,207.4,70848,
Bucharest,Stuttgart,290.0,166.3,38582,
Bucharest,Tallinn,8.0,128.1,820,
Bucharest,Toulouse,2.0,167.2,268,
Bucharest,Turin,190.0,204.2,31038,
Bucharest,Venice,1194.0,205.1,195912,
Bucharest,Vienna,3108.0,169.4,421196,
Bucharest,Vilnius,17.0,235.6,3204,
Bucharest,Warsaw,1980.0,113.7,180101,
Bucharest,Zagreb,0.0,180.0,0,
Bucharest,Zurich,1179.0,127.4,120164,
Budapest,Cologne,1112.0,180.0,160128,
Budapest,Copenhagen,1178.0,186.5,175758,
