city_a,city_b,distance_km,V_air,V_rail,V_total,weight,air_share,rail_share,has_air,has_rail
Lyon,Malaga,1266.4572258559926,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lyon,Marseille,275.9172521904283,19645.589531431546,949069.1163299186,968714.7058613502,0.0036188709593341743,0.020280057082403137,0.9797199429175969,True,True
Lyon,Milan,339.17248314361944,102514.54199911014,0.0,102514.54199911014,0.0003829681708198633,1.0,0.0,True,False
Lyon,Munich,575.3650637557714,69135.82105416592,0.0,69135.82105416592,0.0002582737864397145,1.0,0.0,True,False
Lyon,Murcia,994.2768132955435,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lyon,Nantes,516.4058488491967,0.0,476594.8498920348,476594.8498920348,0.001780436749031218,0.0,1.0,False,True
Lyon,Naples,935.7941938730742,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lyon,Nice,297.04141690552495,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lyon,Nuremberg,622.4410561605163,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lyon,Palermo,1101.6238421277078,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lyon,Palma,710.1788627133977,58253.86612233494,0.0,58253.86612233494,0.00021762157950478352,1.0,0.0,True,False
Lyon,Paris,393.223311180045,121401.47985441395,1606461.6566241935,1727863.1364786075,0.006454855788264929,0.07026105094286038,0.9297389490571396,True,True
Lyon,Porto,1198.8440432851457,26400.221170249963,0.0,26400.221170249963,9.862448988845136e-05,1.0,0.0,True,False
Lyon,Rome,749.1018481485629,78290.52206122459,0.0,78290.52206122459,0.00029247341344586605,1.0,0.0,True,False
Lyon,Rotterdam,686.9829469302091,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lyon,Seville,1292.2803470669094,18653.255906747992,0.0,18653.255906747992,6.968380441580765e-05,1.0,0.0,True,False
Lyon,Strasbourg,383.7982292040785,17189.25939697996,630875.9067982413,648065.1661952212,0.00242100609757403,0.026523967486013465,0.9734760325139865,True,True
Lyon,Stuttgart,469.3914577481554,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lyon,The Hague,704.7364446489371,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lyon,Toulouse,359.56350873613843,22931.749598963845,573769.1779170027,596700.9275159666,0.0022291224082071127,0.0384308931685886,0.9615691068314114,True,True
Lyon,Turin,234.09048906254097,0.0,304334.67802671896,304334.67802671896,0.001136916701651521,0.0,1.0,False,True
Lyon,Utrecht,705.4560384060759,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lyon,Valencia,818.0344664765403,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Lyon,Venice,583.1964889797106,26104.92523478144,0.0,26104.92523478144,9.752133962262954e-05,1.0,0.0,True,False
Lyon,Vienna,915.0172121262239,60318.836585154866,0.0,60318.836585154866,0.00022533578224638148,1.0,0.0,True,False
Lyon,Zurich,335.3212391066335,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Madrid,Malaga,415.7198020531953,0.0,,,,0.5,0.5,False,True
Madrid,Marseille,817.0758749755836,260590.54265834964,0.0,260590.54265834964,0.0009734997738729595,1.0,0.0,True,False
Madrid,Milan,1188.1222639959942,1317282.416456504,0.0,1317282.416456504,0.004921030983954412,1.0,0.0,True,False
Madrid,Munich,1484.4544346340729,941281.5449542672,0.0,941281.5449542672,0.0035163876701586375,1.0,0.0,True,False
Madrid,Murcia,349.4123807921461,0.0,1174095.2932915636,1174095.2932915636,0.004386120428104572,0.0,1.0,False,True
Madrid,Nantes,775.534336275495,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Madrid,Naples,1514.5459033439654,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Madrid,Nice,975.5215900087368,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Madrid,Nuremberg,1532.4851002767655,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Madrid,Palermo,1488.840137236393,160640.69346109327,0.0,160640.69346109327,0.000600112640941841,1.0,0.0,True,False
Madrid,Palma,549.1971741934101,996136.4932120715,0.0,996136.4932120715,0.003721311759805274,1.0,0.0,True,False
Madrid,Paris,1052.4471970840984,1641442.642590251,0.0,1641442.642590251,0.0061320108745544395,1.0,0.0,True,False
Madrid,Porto,421.14682830844947,524110.7491316219,405903.82876349514,930014.577895117,0.003474297156157532,0.5635511115512093,0.4364488884487907,True,True
Madrid,Rome,1365.2788460294728,1138353.5885696604,0.0,1138353.5885696604,0.00425259853928367,1.0,0.0,True,False
Madrid,Rotterdam,1424.0060610010225,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Madrid,Seville,390.34745025931863,381043.1952968252,1106403.3408009799,1487446.536097805,0.0055567207150636535,0.25617270002622144,0.7438272999737785,True,True
Madrid,Strasbourg,1281.5413447509761,222888.19132571845,0.0,222888.19132571845,0.0008326534096021136,1.0,0.0,True,False
Madrid,Stuttgart,1376.8774165031355,202089.55494230517,0.0,202089.55494230517,0.0007549550111507759,1.0,0.0,True,False
Madrid,The Hague,1433.0686175871256,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Madrid,Toulouse,553.3629222072308,344268.95024715405,0.0,344268.95024715405,0.0012861009528518557,1.0,0.0,True,False
Madrid,Turin,1062.9369196318796,153793.9816942799,0.0,153793.9816942799,0.0005745350728199437,1.0,0.0,True,False
Madrid,Utrecht,1462.26366329793,0.0,0.0,0.0,0.0,0.5,0.5,False,False
Madrid,Valencia,302.0162239441777,0.0,1206673.9015932966,1206673.9015932966,0.004507825795810158,0.0,1.0,False,True
Madrid,Venice,1416.7238833963274,359489.2031060887,0.0,359489.2031060887,0.0013429599338621067,1.0,0.0,True,False
Madrid,Vienna,1809.3831879505335,863616.507156984,0.0,863616.507156984,0.003226250906321373,1.0,0.0,True,False
Madrid,Zurich,1247.0036497025942,751302.1855752704,0.0,751302.1855752704,0.002806673259538382,1.0,0.0,True,False
