scenario,p_disrupt,city,avg_stranded,avg_index
A,0.8,Hamburg,55.7,0.2
A,0.8,Bremen,32.6,0.3064
A,0.8,Nuremberg,10.3,0.0651
A,0.8,Rotterdam,46.1,0.3436
A,0.8,Palermo,2.25,0.052625000000000005
A,0.8,London,149.1,0.21959999999999996
A,0.8,Liege,12.3,0.23619999999999997
A,0.8,Rome,14.2,0.04010000000000001
A,0.8,Seville,3.1666666666666665,0.024166666666666666
A,0.8,Utrecht,36.5,0.2719
A,0.8,Hannover,20.4,0.11459999999999997
A,0.8,Cologne,37.3,0.14329999999999998
A,0.8,Vienna,14.666666666666666,0.05511111111111112
A,0.8,Leipzig,3.4444444444444446,0.02666666666666667
A,0.8,Dortmund,54.3,0.29500000000000004
A,0.8,Lille,21.6,0.3053
A,0.8,Naples,1.0,0.023
A,0.8,Dusseldorf,41.7,0.29220000000000007
A,0.8,Stuttgart,3.0,0.024555555555555556
A,0.8,Lyon,1.75,0.013375
A,0.8,Toulouse,3.3,0.027100000000000003
A,0.8,Amsterdam,102.1,0.22600000000000003
A,0.8,Munich,21.7,0.0502
A,0.8,Essen,47.8,0.2989
A,0.8,Lisbon,9.8,0.0371
A,0.8,The Hague,24.0,0.3099
A,0.8,Madrid,19.8,0.037399999999999996
A,0.8,Barcelona,17.4,0.03849999999999999
A,0.8,Palma,8.9,0.0426
A,0.8,Zurich,12.3,0.04189999999999999
A,0.8,Milan,15.3,0.03270000000000001
A,0.8,Marseille,2.875,0.02325
A,0.8,Porto,5.2,0.042699999999999995
A,0.8,Turin,3.0,0.026222222222222223
A,0.8,Brussels,96.7,0.3145
A,0.8,Berlin,25.0,0.0661
B,0.8,Strasbourg,2.6666666666666665,0.015499999999999998
B,0.8,Hannover,1.6666666666666667,0.009333333333333334
B,0.8,Cologne,1.6666666666666667,0.0065
B,0.8,Vienna,4.666666666666667,0.017499999999999998
B,0.8,Leipzig,1.6,0.012
B,0.8,Geneva,6.0,0.03416666666666667
B,0.8,Frankfurt,7.166666666666667,0.013833333333333331
B,0.8,Paris,10.5,0.013999999999999999
B,0.8,Stuttgart,1.6666666666666667,0.013666666666666667
B,0.8,Venice,1.8333333333333333,0.013
B,0.8,Amsterdam,3.5,0.007666666666666668
B,0.8,Hamburg,4.333333333333333,0.016166666666666666
B,0.8,Munich,4.166666666666667,0.009666666666666667
B,0.8,Lisbon,2.8333333333333335,0.011000000000000001
B,0.8,Madrid,5.5,0.0105
B,0.8,Barcelona,3.6666666666666665,0.007833333333333333
B,0.8,Palma,2.1666666666666665,0.010166666666666666
B,0.8,Zurich,96.16666666666667,0.3346666666666666
B,0.8,Rotterdam,1.0,0.0075
B,0.8,Milan,8.333333333333334,0.018166666666666668
B,0.8,Marseille,2.0,0.015
B,0.8,Porto,1.5,0.011500000000000002
B,0.8,Palermo,1.0,0.026000000000000002
B,0.8,Brussels,3.3333333333333335,0.010166666666666666
B,0.8,London,8.0,0.011833333333333333
B,0.8,Berlin,2.0,0.005
B,0.8,Rome,3.3333333333333335,0.009833333333333333
B,0.8,Seville,1.5,0.01225
C,0.8,Strasbourg,2.8,0.0164
C,0.8,Granada,16.0,0.39
